index,GSM1282761,GSM1282762,GSM1282763,GSM1282764,GSM1282765,GSM1282766,GSM1282767,GSM1282768,GSM1282769,GSM1282770,GSM1282771,GSM1282772,GSM1282773,GSM1282774,GSM1282775,GSM1282776,GSM1282777,GSM1282778
C2ORF60,176.8894591,106.9842687,242.6852269,77.29842015,294.7674647,434.7895901,1.051238838,519.093336,72.89458516,402.0624229,256.1219486,1.126309693,93.54977145,40.60716481,144.4733251,11.79965331,176.7257438,199.8010497
C2ORF61,55.05188172,37.83514757,20.37752674,268.6469424,52.67109996,241.3160883,125.5437824,80.95664006,72.96496355,52.23410601,44.45003022,108.1718302,90.51179151,19.96531232,112.0564199,71.70667873,55.74650535,92.15104866
C2ORF62,189.6323962,17.65768879,3.073680004,6.967803451,2.32004726,24.50130446,52.13270475,230.1246692,3.289796793,4.546346738,30.14532799,16.56040928,5.656331172,1.71445826,9.069555919,32.7398119,17.37830999,23.2946443
C2ORF63,260.9978015,189.6323962,251.8365768,25.47807721,198.750266,43.76872974,355.8272288,86.96362653,190.1050952,300.5352747,199.1985845,187.6586059,154.5621037,103.213817,214.9609386,171.5729423,280.5289717,229.1707674
C2ORF64,584.7482809,642.8017222,521.3304386,172.3046229,627.0166173,631.5021827,417.4150808,85.03721868,422.0456641,558.0600339,619.8047979,470.9423022,457.7336898,247.3375825,759.2288219,502.631704,703.7744878,735.78299
C2ORF65,598.0418014,39.93954025,612.9452535,653.2473865,56.25131256,388.0353216,335.1655659,662.2063429,241.1894236,47.64733041,56.14274046,58.0160362,216.8356923,639.473173,537.2259059,316.2707722,191.2238644,211.5693897
C2ORF66,308.7041755,510.6742474,342.1036478,808.4822614,54.59049168,361.319338,79.6959325,1486.895999,355.1398187,235.6500054,55.91492266,56.56575108,501.9097344,862.5152136,444.9886627,28.57398357,207.602741,255.3634443
C2ORF67,34.20748909,83.72919477,14.06905357,40.19852452,27.71763087,60.69960772,66.70472432,55.7291551,20.49548154,20.29483136,22.33372774,34.56077858,5.345794778,24.15692909,34.13488216,58.22268108,25.7265805,41.6563116
C2ORF7,86.09381604,36.70474151,235.6500054,66.46493607,367.9507208,82.82236847,139.0416038,59.34510741,94.48618359,163.2188197,194.7638876,50.9770102,41.69462225,169.2744482,155.0840566,146.515507,209.4102308,269.4431786
C2ORF73,6.98499402,81.79254499,2.189620286,122.6127184,5.997123455,51.75591964,8.728751102,79.57477283,12.06133065,25.23058564,16.36222704,50.03919398,2.276999707,6.837686169,8.520461317,57.41614879,2.2713037,1.30068062
C2ORF76,435.0763454,256.5561913,463.276961,270.8693055,244.7200767,552.4242785,21.95752494,1207.0684,170.8202102,569.4472514,226.6686797,289.6530543,530.0765009,729.0796369,546.6391135,320.6989542,359.5996766,297.6678428
C2ORF78,383.8580631,196.3100506,308.2677692,648.1069863,138.8929372,209.0945454,13.17020818,660.3197732,104.4054007,541.7785798,49.91698737,150.1469233,199.679785,986.0471032,281.8901747,292.7454907,111.9675927,136.545743
C2ORF79,527.7956643,465.7177284,583.4474841,187.9946319,655.8034078,381.4463465,572.4700639,89.64801297,997.680678,574.1943878,852.0885129,597.5106659,486.2816495,391.49487,592.7207921,458.4372879,762.743678,1237.983438
C2ORF83,46.57009965,112.506495,72.17195686,78.52754048,96.98558931,495.8760851,62.25209556,51.27209599,56.39498517,29.79987823,31.83088513,26.93837201,5.006575662,558.346968,126.7566281,83.62280204,52.28238707,39.46964254
C3,440.8326582,583.8502022,1737.363359,565.8387778,691.6069012,568.2857248,659.6271258,1169.946274,1380.427238,1192.069562,767.7771336,672.5993558,1453.201131,582.7571791,795.3172097,1997.108658,994.7950451,1446.320502
C3AR1,43.1272024,95.46080739,149.157415,57.39728861,345.1504234,74.81137148,202.1913313,53.71970542,251.2020383,121.0352728,217.0964078,103.155197,17.31912731,32.12184747,24.38594601,218.1620745,168.2080179,321.5638151
C3ORF1,453.314568,765.6442277,536.8153295,432.652106,187.4431682,375.575508,440.9931893,323.7742297,571.0260281,236.989422,480.7981321,638.4573235,313.4375229,397.4827303,588.8230157,629.1102281,607.849338,592.7207921
