index,GSM1648114,GSM1648115,GSM1648116,GSM1648117,GSM1648118,GSM1648119,GSM1648120,GSM1648121,GSM1648122,GSM1648123,GSM1648124
SHMT1,31.5631,30.5873,29.7446,30.762700000000002,27.709400000000002,28.0339,30.4924,29.2411,28.174500000000002,26.2048,26.4898
SHMT2,12.6617,12.9278,12.5241,12.7719,12.663,12.4743,12.105,12.5977,12.6839,12.4274,12.8343
SHOC2,8.6048,8.6719,8.8572,7.7845,8.8628,8.8918,9.0935,7.7515,8.9189,8.15,8.4869
SHOX,12.9865,12.199,12.217400000000001,12.6755,12.8059,11.9475,12.7711,13.239,12.171700000000001,17.5796,12.6521
SHOX2,20.1318,20.5444,19.3933,19.5789,20.1943,19.6403,20.299,19.9211,21.6544,22.0197,20.8219
SHPK,12.5515,11.8587,11.7883,11.8576,12.0107,11.6521,11.8699,11.5323,11.7513,11.9935,12.1899
SHPRH,16.8105,16.4744,16.719900000000003,15.9395,16.7638,16.7546,17.1995,16.282700000000002,16.916800000000002,16.309,16.4712
SHQ1,9.3461,8.808,8.3992,9.5033,8.8508,9.0756,9.2418,9.1028,9.5716,9.1934,9.12
SHRM,9.172,9.3102,8.276,8.8354,9.0968,9.8969,8.5067,10.3071,9.9946,7.2358,8.6826
SHROOM1,7.2482,7.9584,7.5106,9.3314,6.7236,8.0109,8.2425,9.7139,7.2796,7.9626,7.6702
SHROOM2,9.5913,7.5925,7.8481,8.1005,6.5887,7.4497,7.7801,7.573,7.1662,7.1356,8.0245
SHROOM3,6.5043,7.3249,6.5811,6.4242,7.0712,7.2364,6.3619,6.8699,6.9663,6.7372,6.8704
SHROOM4,6.4455,6.2883,6.4593,6.3681,6.1218,6.1393,6.2995,6.6697,6.0079,6.5738,6.3123
SI,13.031500000000001,12.0976,12.2531,12.9023,12.432400000000001,11.9754,12.749500000000001,12.991,12.386800000000001,12.4761,12.4058
SIAE,7.7529,7.1595,6.4025,7.0657,6.3734,6.8395,6.4608,7.9008,6.6455,6.349,6.5626
SIAH1,23.7262,23.1798,23.453599999999998,25.5582,23.7772,23.2873,24.2278,24.0332,22.9271,22.4623,23.682
SIAH2,10.8047,11.2564,11.3281,11.536,11.4822,11.1574,11.9226,10.4999,11.4693,10.8692,11.524
SIAH3,12.9464,12.669,12.4277,13.030100000000001,12.5953,12.288599999999999,12.8398,13.196100000000001,12.3121,12.6405,12.7607
SIDT1,6.9763,6.5939,6.5617,6.3829,6.8314,6.669,7.2388,7.5604,7.4563,7.5091,6.2824
SIDT2,12.0635,11.9251,11.6743,11.7946,12.1512,11.9154,12.3027,11.693,12.0953,12.0139,11.3857
SIGIRR,17.2952,16.9661,17.9463,16.9725,18.0838,17.497899999999998,14.6777,17.6209,19.2421,18.6458,16.116500000000002
SIGLEC1,9.3716,9.2295,8.6261,10.1269,8.6739,9.9264,10.7368,9.8125,11.33,10.6007,9.3446
SIGLEC10,9.2361,9.6856,9.903,11.2825,11.3181,9.8097,11.191,10.3012,11.3823,9.4322,9.1466
SIGLEC11,6.4923,6.1331,6.1657,6.449,6.3193,6.0609,6.2391,6.3711,6.0876,6.3296,6.2126
SIGLEC12,19.5389,18.9426,20.5517,21.363,19.8797,18.9884,20.1818,21.9426,19.1547,20.3343,20.428
SIGLEC14,9.9206,10.048,9.9543,9.8934,11.0905,9.2893,11.3394,7.6316,10.5166,9.3976,9.6657
SIGLEC15,9.0414,6.4058,7.2388,6.6213,8.5956,7.4527,7.795,7.6049,10.8392,8.7991,7.5655
SIGLEC16,9.9956,8.9793,6.1005,6.4053,8.2297,8.1531,8.928,8.5012,10.9217,10.0673,7.6467
SIGLEC5,15.0366,14.1817,14.672699999999999,16.6606,16.2541,13.2538,16.7865,14.3334,16.3613,16.0549,14.7417
SIGLEC6,6.5943,6.1631,6.2144,6.4032,8.4917,6.5232,6.4079,6.9451,6.248,6.6011,6.2445
SIGLEC7,24.9384,21.8637,20.5162,22.900100000000002,23.8803,21.4009,24.410800000000002,22.6568,25.2235,21.7853,22.3315
SIGLEC8,10.0595,8.6584,8.4404,9.6238,8.9276,7.9797,10.3442,6.8871,10.5496,7.8671,8.9252
SIGLEC9,8.4257,8.328,7.8738,9.004,8.6765,7.2205,9.6385,7.5687,9.352,8.7557,8.4928
SIGLECP3,12.9011,12.8354,13.044699999999999,14.123,12.8743,12.4605,13.987200000000001,13.9483,13.3762,13.2778,12.9025
SIGMAR1,33.205600000000004,30.2579,31.090200000000003,33.9862,32.5293,31.8519,31.5519,30.6266,32.3667,31.5669,34.8358
SIK1,16.894000000000002,16.8556,18.357499999999998,18.221799999999998,18.1575,17.8351,18.6956,19.9299,17.7166,18.8831,18.4414
SIK2,18.6173,17.834400000000002,19.2712,15.5389,16.7969,18.2068,18.718899999999998,17.6834,17.365000000000002,18.033,17.683799999999998
SIK3,10.9462,10.7496,10.993,10.7119,10.9915,11.0668,10.6881,11.0482,10.9548,11.4426,10.2463
SIKE,10.2699,10.8229,10.6824,9.2814,10.7228,10.9722,10.747,9.1823,10.7493,11.0188,10.9906
SIL1,32.8541,34.043099999999995,31.4269,33.8631,33.4702,32.4531,30.211100000000002,33.0324,32.0794,32.4945,32.5558
SILV,13.0887,8.4708,7.7855,7.8291,7.8845,7.6384,6.8629,7.8253,6.6558,7.4945,7.2877
SIM1,14.811,16.9153,17.4325,15.1079,14.6347,12.1618,12.913,15.720600000000001,14.924,15.2094,13.982800000000001
SIM2,13.574200000000001,12.8677,12.463000000000001,18.3746,12.549299999999999,13.085799999999999,13.0033,13.2869,15.339400000000001,14.4809,21.4983
SIN3A,10.5377,11.1616,11.2747,11.4913,11.5037,11.6023,12.1228,10.6463,11.3839,11.3375,11.0298
SIN3B,11.0761,9.8536,11.1831,10.3056,10.8327,10.9307,10.5161,11.3438,9.8766,10.7895,10.6844
SIP1,18.7965,18.172800000000002,19.824,18.974200000000003,19.2239,19.9331,19.0768,17.7205,18.971,18.4568,20.8031
SIPA1,20.8042,21.3283,20.5123,21.856099999999998,20.610599999999998,21.0924,21.4217,22.8156,21.938200000000002,21.8549,20.6051
SIPA1L1,8.5604,8.2288,8.0617,8.6843,8.1286,8.0474,7.5981,8.7817,8.4533,8.4415,7.9897
SIPA1L2,11.4215,11.7735,11.9412,11.5337,11.8445,11.8851,12.2613,11.5533,11.4586,11.6503,11.3356
