index,GSM1050643,GSM1050644,GSM1050645,GSM1050646,GSM1050647,GSM1050648,GSM1050649,GSM1050650,GSM1050651,GSM1050652,GSM1050653,GSM1050654,GSM1050655,GSM1050656,GSM1050657,GSM1050658,GSM1050659,GSM1050660,GSM1050661,GSM1050662,GSM1050663,GSM1050664,GSM1050665,GSM1050666,GSM1050667
TARBP1,6.964414,6.715437,7.227597,6.617309,6.289228,6.571955,6.814363,7.403186,6.220731,6.349775,7.108704,6.443084,6.578539,6.941938,6.092333,7.150569,6.621319,6.445547,6.50106,6.743932,6.856789,6.523455,6.825027,7.512044,7.695471
TARBP2,7.024388,6.536221,6.652417,6.814506,6.833655,6.487676,6.208203,6.579612,6.665211,7.154017,6.872973,7.019816,6.945771,6.606277,7.014202,6.73479,7.108894,7.008701,7.056117,6.558844,7.135911,6.810124,6.760277,6.742327,6.431952
TARDBP,13.647249,14.546443,15.009876,14.254415,15.121203,13.753057,13.608741,14.541478999999999,14.216713,14.418733,14.528512,15.121355,14.257583,14.986139999999999,14.835932,14.618175,13.389407,14.663444000000002,14.636529,14.709745999999999,15.474724,13.915042,15.112299,15.292936000000001,14.834246
TARDBPP1 /// TARDBPP1,4.004797,3.792293,3.45571,3.690105,3.463702,3.637684,4.246281,3.419297,3.785537,3.543586,3.493731,3.655365,3.498155,3.293902,3.844641,3.533564,3.451423,3.590059,3.528315,3.78742,3.372751,3.707919,3.370552,3.766183,3.481333
TARP,9.978752,9.368684,8.631882000000001,9.329389,8.895178,9.600195,9.817482,9.177567,9.17286,9.179595,9.331295,8.773785,8.818805,9.141648,9.183589999999999,9.035643,9.710333,9.119415,9.149708,9.549474,9.084428,9.365605,8.848666,9.264208,8.826402999999999
TARP /// TRGC2 /// TRGV9,26.481888,26.900305,23.956025,27.072758,27.174265,33.34697,26.446920000000002,24.427723,25.046113,38.938303000000005,28.523509999999998,24.331519,26.454983,35.62008,24.690101,25.063293,31.102336,25.661144999999998,31.355204,25.86298,23.243975999999996,27.794967,27.215809,25.480228999999998,26.780849
TARS,6.53583,7.226394,7.938716,7.692044,8.446178,6.691433,7.959389,8.1743,8.027424,8.337709,7.936748,8.703995,8.046853,7.871076,8.527372,9.448472,6.991163,7.412222,7.912235,7.190793,8.281775,7.727152,8.666049,8.871303,8.100877
TAS2R1,7.200171,7.048211,6.399178,6.631559,6.19565,6.543998,7.230658,6.167481,6.661361,6.387978,6.262409,6.377459,6.539273,6.096651,6.573657,6.473495,6.40081,6.76852,6.552183,6.579797,6.456743,6.523262,6.238958,6.849597,6.061499
TAS2R10,3.624072,3.572941,3.47884,3.603824,3.442226,3.465572,3.893586,3.439658,3.748732,3.501766,3.557499,3.561673,3.546188,3.499563,3.573854,3.573224,3.692588,3.571837,3.530058,3.621168,3.572064,3.704894,3.470322,3.476996,3.493092
TAS2R13,5.613483,5.078433,4.724468,4.934654,4.755219,4.871917,5.191124,4.667054,4.985905,5.008009,4.515599,4.853594,4.841644,4.924873,4.835319,4.869191,4.680309,4.907332,4.853819,4.853228,4.980908,4.945575,4.83448,5.118232,4.606294
TAS2R14,6.260303,5.458202,5.274722,5.440936,5.215255,5.356878,5.817756,5.214522,5.440441,5.272846,5.220582,5.354668,5.452844,5.101836,5.37295,5.330024,5.18838,5.436909,5.263776,5.298087,5.281057,5.34753,5.240416,5.587042,5.152839
TAS2R16,5.101697,5.047,4.243208,4.496567,4.20461,4.765789,5.559294,4.303289,4.869391,4.583734,4.309825,4.477693,4.526196,4.44932,4.846424,4.358759,4.429548,4.767977,4.781501,4.48909,4.226084,4.760291,4.376819,4.671031,4.207489
TAS2R3,5.285743,4.979698,4.417182,5.046238,4.494196,4.785703,5.117363,4.416767,4.708337,4.870451,4.884556,4.946877,4.875249,4.839454,4.840993,4.892974,5.582744,5.1369,4.972794,4.827406,4.650162,5.093032,4.432364,4.710528,4.568654
TAS2R4,5.512846,5.270144,5.12313,5.185439,4.886501,5.185439,5.462962,5.289002,5.477125,5.101998,4.85107,5.154836,5.398739,4.890452,5.005298,5.177521,4.907904,5.172084,4.807487,4.960585,4.929814,5.209136,4.938393,5.288975,4.896974
TAS2R7,5.091936,4.609353,4.137146,4.114456,3.983749,4.133661,4.762999,4.095526,4.603126,4.155691,4.068742,4.044982,4.249332,4.074206,4.217248,4.167863,4.16973,4.280661,4.384227,4.036331,4.24012,4.3113,4.10375,4.459679,3.880368
TAS2R8,4.98357,4.732319,3.917871,4.015443,4.02624,4.022844,5.431576,3.839837,4.716036,3.870531,3.984391,3.851861,4.113683,3.689604,4.109408,3.872136,4.139954,4.165264,4.095629,3.986939,3.686952,4.082999,3.828985,4.408552,3.886669
TAS2R9,3.882684,3.782826,3.425104,3.733266,3.558433,3.622944,4.11332,3.657932,3.799321,3.689502,3.713088,3.545964,3.575794,3.430598,3.96838,3.607762,3.747246,3.850038,3.829283,3.715894,3.533805,3.665459,3.499903,3.72853,3.469616
TASP1,5.211741,4.921973,4.82348,4.97579,5.100716,4.899047,5.039579,4.956011,5.002949,4.849981,5.140373,5.461779,4.895057,5.193722,4.801456,4.859505,4.202669,4.73564,4.748362,4.751887,5.071046,4.705674,5.068505,5.359588,5.432095
TAT,9.778896,9.153804000000001,9.293951,9.194845,8.600653000000001,9.094308,9.49848,8.815207000000001,9.423023,9.427839,9.325475,9.371924,9.62649,8.847766,11.263377,9.208688,8.987169000000002,9.070799000000001,9.129555,9.426187,8.809206,9.1579,8.728918,9.05949,8.382732
TATDN2,7.690846,7.577129,7.745127,7.3834,7.408746,7.560577,7.421683,7.342181,7.527553,7.246122,7.428823,7.030473,7.23832,7.610352,7.489862,7.313417,7.06501,7.553169,7.59689,7.28489,7.509316,7.775949,7.112897,7.560383,8.00021
TAX1BP1,19.223250999999998,20.379831,20.55117,20.040495,20.618479,19.137218999999998,20.56724,21.076956,19.667475,22.804403999999998,19.695151,21.100510999999997,20.199879,22.156246,20.610421,21.684301999999995,19.818382,21.55442,21.674996000000004,19.945781,21.954641,20.083616999999997,21.778672,21.129979,22.919097
TAZ,14.195792,12.928022,13.160968,13.040916,12.451675000000002,13.347746,13.202627,12.852868,13.528217000000001,13.547408,13.170013,12.849113,13.389016999999999,12.76258,13.095534,13.385906,13.705197,13.445810999999999,13.290528,13.237563999999999,12.96164,13.23087,13.101568,13.180672000000001,12.586296
TBC1D1,11.105979000000001,12.317596,11.973634,11.287499,10.83231,11.393958000000001,11.339122,11.400865,11.333184,11.626766,11.658283,10.473631000000001,11.238551000000001,11.548138999999999,11.936045,10.979393,12.303622,11.913233,11.638326,10.885235000000002,11.344939,11.535062,11.007525000000001,11.29922,11.298454
TBC1D10B,7.915649,7.74333,7.745073,7.662624,7.591274,7.141146,7.641696,7.434674,7.601029,7.446424,7.691028,7.337159,7.677288,7.302114,7.525273,7.610752,7.365156,7.633306,7.65459,7.214981,7.568899,7.498032,7.243603,7.349052,7.330111
TBC1D12,5.689828,5.736444,5.672785,5.421016,5.442036,5.392977,5.596414,5.834857,5.72731,5.332211,5.485901,5.588337,5.849173,5.363922,5.456977,5.774819,5.311882,5.373317,5.351066,5.854743,5.630681,5.144238,5.263715,5.88945,5.496954
TBC1D13,14.679946000000001,13.869066,13.602159,13.189387,13.989512999999999,13.651233999999999,13.154982,13.117261,12.969435,14.408683,13.774461,13.946497,13.566108,13.610135,13.214075000000001,13.564346,13.674382000000001,13.463478,13.503384,13.652328,14.524536000000001,13.209786000000001,13.058734000000001,13.558057,13.509319
TBC1D15,6.066304,5.962303,6.568903,6.032645,6.771068,6.262589,5.857497,6.789011,6.192447,6.729049,6.915236,7.312035,6.105869,6.220938,6.103985,6.03381,6.215285,6.373999,6.021438,6.185345,6.477142,6.513543,6.272266,6.640219,7.05163
TBC1D16,7.200019,8.085102,7.247689,7.211251,7.2021,6.56256,6.908893,7.442245,6.898789,7.80213,6.657904,6.178528,7.513549,7.058997,8.028142,6.882501,5.279367,6.170502,7.380329,7.487208,8.164905,7.074684,7.690701,7.404409,6.796285
TBC1D17,6.649256,5.924601,6.291753,6.158379,7.016695,6.253601,5.522356,6.259202,6.17821,6.176395,7.595191,5.930921,6.156745,6.526548,6.20838,6.161416,6.425766,6.458036,6.149593,7.007258,6.455382,5.971874,6.51947,6.265878,6.208482
TBC1D19,6.502254,6.090933,5.495545,6.234895,5.725647,6.15757,6.36123,5.974457,6.198373,5.83436,6.073516,6.088965,5.869664,5.867694,5.668014,5.782917,5.933741,5.887936,5.982297,6.004117,6.169848,6.295045,5.881392,6.045603,5.571089
TBC1D2,4.765212,4.310589,4.710639,4.287946,4.349257,4.416977,4.353317,4.591585,4.287946,4.699912,4.67633,4.188984,4.362902,4.60325,4.724935,4.219268,5.226292,4.202525,4.360749,4.390921,4.591421,4.316792,4.231261,4.527262,3.967739
TBC1D22A,22.298557,20.985233,21.738956,21.211610999999998,21.774335999999998,21.565027,21.150194,21.097269,20.680267999999998,21.874732,20.811208999999998,21.55576,20.478915,21.465325,21.385986000000003,21.561881,21.590573,20.684815999999998,21.081279000000002,21.437244999999997,20.98469,21.021271,20.658106,21.876522,21.211576
TBC1D22B,3.538008,3.60184,3.423373,3.575884,3.506605,3.54436,3.497191,3.463798,3.514951,3.446111,3.466668,3.443004,3.514951,3.591627,3.556858,3.514951,3.685239,3.666501,3.569807,3.465611,3.532672,3.881366,3.38997,3.579147,3.730093
TBC1D29,5.402063,5.130419,4.934475,4.907419,4.846082,5.021876,4.905342,4.98328,4.871342,4.915977,4.902805,5.157011,4.944745,4.933904,4.972832,5.055993,5.050481,5.004023,4.701272,5.055993,4.896538,5.332661,5.130614,5.200158,4.808212
