index,MGHCC1573,MGHCC1006,MGHCC0007,MGHCC0001-B,MGHCC1002,MGHCC1101,MGHCC0001-A,MGHCC1009,MGHCC1099,MGHCC1108,MGHCC1112,MGHCC0002
BLOC1S1,50.030344,45.713087,31.812543,50.063202,25.718037,43.418533,34.987661,37.221617,42.399255,50.940630000000006,7.407707999999999,39.040331
BLOC1S2,10.977321,13.032645,33.430124,14.253847,9.877019,8.383664,15.744113,11.853122,5.249218,13.463881,1.479617,26.009171
BLOC1S2P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLOC1S3,1.369484,1.018166,3.024384,0.981172,0.969729,1.703982,0.7874979999999999,0.923155,0.7253700000000001,0.871653,0.895132,1.704632
BLOC1S4,1.094407,0.923322,0.613789,1.753955,0.915887,0.777835,1.338222,0.835013,1.309997,0.94248,0.122591,1.868629
BLOC1S5,7.358361,3.979003,1.395006,3.816206,2.488183,19.117942,5.772985,2.0247,5.830766,1.018354,0.183739,2.647486
BLOC1S5-TXNDC5,0.0,0.624832,0.133038,0.480246,0.644274,1.117479,0.0,0.0,0.556663,0.0,0.0,0.0
BLOC1S6,44.962915,20.678199,9.844829,28.160904,9.496589,55.270434,26.568697,31.401809,45.177178,46.018892,16.964102,33.48257
BLOC1S6P1,0.10877,0.0,0.0,0.0,0.0,0.0,0.0,0.051403,0.044182,0.220448,0.0,0.0
BLTP1,95.597874,121.662975,110.336897,74.656488,70.947063,126.663274,106.652968,77.630274,148.807691,117.83063,49.94389,127.020319
BLTP2,104.542727,159.031798,77.74496,54.125510000000006,105.25439,149.40115,65.396326,108.305824,36.846975,115.902087,33.651647000000004,118.698629
BLTP3A,0.597925,0.216278,0.088623,0.343637,0.280584,0.177386,0.336808,0.312442,0.118031,0.485996,0.101345,0.103124
BLTP3B,16.978948,18.913641,19.03901,15.019609999999998,8.632062,23.572651,14.454599,9.045409,9.28962,21.358919,7.624875,20.180387
BLVRA,50.81244,65.266679,47.019484,80.340248,62.17116000000001,22.633349000000003,42.118784,66.621851,34.692118,40.490278,13.470127,49.706692
BLVRB,12.337798,21.094854,37.737671,19.675988,3.983918,4.489574,11.036038,15.772575,3.909865,18.755802,5.549429,4.613127
BLZF1,28.70684,30.714563,30.722129,20.191951000000003,17.46656,49.026183,15.81252,17.066792,10.884819,63.980777,7.20473,28.317678
BLZF2P,1.008225,0.484021,0.266131,0.489259,0.322456,0.494001,0.520532,0.393041,0.053682,0.268265,0.0,0.0
BMERB1,30.774879,25.206388,45.65574,19.078791,4.973819,34.976561000000004,18.778814,40.744257000000005,43.218379,17.474967,0.0,1.354776
BMF,2.825449,5.103759999999999,5.443718,2.35801,1.724424,6.553933,2.61911,3.319656,4.42254,5.035688,3.76511,3.045565
BMF-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI1,273.000206,70.998024,85.99842100000001,137.181499,41.653121,92.343245,122.780764,282.943709,72.842513,348.33519,29.189643,53.191596
BMI1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMP1,20.854749,18.581863,10.165451,25.593288,12.328212,15.93923,31.654118,22.4992,20.483605,7.131247,3.723908,17.731830000000002
BMP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040707,0.0,0.0,0.0,0.0
BMP15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMP2,0.278043,0.13211,0.0,0.194585,0.318803,0.646496,0.869765,0.240734,0.656662,0.191166,0.155105,0.494867
BMP2K,50.560321,46.256476,38.016749,37.94626,17.817972,68.535083,101.898724,25.535046,10.874664,112.068859,23.577031,0.144101
BMP2K-DT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
