index,Pt1-baseline,Pt2-baseline,Pt3-baseline,Pt4-baseline,Pt5-baseline,Pt6-baseline,Pt8-baseline,Pt9-baseline,Pt10-baseline,Pt15-baseline,Pt16-baseline,Pt17-baseline,Pt18-baseline,Pt19-baseline,Pt20-baseline,Pt23-baseline,Pt24-baseline
LYPD6B,0.8341965,0.0223446,1.208265,1.39126,0.947108,0.0,5.52799,0.06023365,5.99923,0.385158,0.0186267,0.0309561,0.102968,0.0,0.0,0.02374565,0.392941
LYPD8,0.0,0.0594505,0.0911195,0.396055,0.0,0.0,0.0,0.6288075,0.1273615,0.0,0.0,0.361291333,0.805955,0.1819275,0.1225195,0.071802,0.0
LYPLA1,55.4769,38.1716,51.5059,28.60025,7.447995,26.5649,40.93975,71.92705,9.94934,28.72985,8.876976667,58.32956667,7.53266,29.00655,34.39755,9.49648,100.99855
LYPLA2,42.31375,39.61155,37.5066,48.24235,84.35985,62.991,65.3713,70.9147,98.35035,42.3096,60.49636667,65.60293333,49.5518,39.4913,75.4598,125.912,87.79695
LYPLAL1,78.60055,32.90755,7.36907,6.77745,6.40353,11.40786667,17.8027,14.0514,5.406055,56.9937,9.764886667,15.41503333,2.7903,27.6502,11.10715,11.3072,19.0296
LYRM1,8.536105,4.0818,8.610105,10.36845,3.451745,6.673963333,8.101345,11.6156,6.804835,8.37258,4.522643333,9.00637,6.70719,9.47417,9.50633,5.64496,10.020545
LYRM2,11.69995,19.4329,9.41876,5.89701,2.932725,8.46576,10.37195,10.41415,2.54251,14.2546,5.421536667,9.081493333,4.33777,6.46619,8.365195,3.87185,9.56457
LYRM4,34.9943,51.7222,22.66345,22.93445,62.36365,28.02033333,25.1426,36.61215,52.9029,43.4296,55.20053333,25.55916667,39.8201,48.957,20.2123,28.97215,25.82355
LYRM7,3.52235,2.75199,1.82902,2.34311,0.551183,2.35507,3.030335,2.69253,1.0154605,4.526375,1.285303333,4.812026667,1.78858,2.99198,3.59971,1.42495,7.03235
LYRM9,8.950465,11.73775,3.999415,2.50719,13.53345,5.66701,10.51815,7.77084,23.41495,10.9523,4.04302,6.436863333,9.36708,4.07168,1.103165,6.35729,5.82318
LYSMD1,15.14175,2.84658,1.99218,4.190105,3.73763,4.11448,5.567255,7.498435,2.56349,4.410585,6.695036667,4.040033333,15.0145,2.77804,3.67736,3.61503,8.457795
LYSMD2,8.65011,13.2686,6.86707,12.90105,1.263215,6.117106667,3.416075,10.66842,5.073845,10.9965,22.3494,21.7043,7.77314,15.401,2.625675,5.00742,8.91715
