index,GSM496016,GSM496019,GSM496020,GSM496021,GSM496023,GSM496032,GSM496036,GSM496037,GSM496040,GSM496041,GSM496042,GSM496043
ABCD2,-0.25720492,-0.42101866,-0.40393355,0.3248211,-0.2858688,-1.5609862,-2.177185,1.6437174,0.13981137,0.056614637,0.3153495,0.36859944
ABCD3,-0.20674607,0.7709753500000001,0.56230955,0.5806979000000001,-0.997490296,0.22839733,0.19175955,-1.37408616,1.0522151,0.308800051,-0.5989454,0.61412599
ABCD4,0.19963358,-1.6278167849999998,-0.430085576,0.042070665,1.00865046,-0.05557629999999997,0.2861313,0.406947723,0.15556595,-0.336396966,-1.2165240800000001,-0.8535052
ABCE1,3.6434445,-0.116481858,0.180417304,0.261769875,-0.8432900400000001,0.5988764,-0.06976034,-0.9933036900000001,1.1011168900000001,1.1161937,-0.083323738,-0.36399612000000003
ABCF1,-0.14247821,-0.11200104,-0.41566244,-0.00655902,0.25561786,0.34573922,0.20055988,0.021613067,0.20075983,0.08966633,-0.13571756,-0.12084631
ABCF2,-1.4669654899999998,-2.5025577689999996,-1.8623249400000002,-0.720537185,1.36700371,2.38791088,2.35920828,0.10063647000000009,0.9206643400000001,-0.20983883499999995,-5.479229194,-4.479710624
ABCF3,-0.09854459,-0.39472714,0.2875192,0.16561663,0.28415745,0.29112726,0.08075158,0.019703496,-0.008977958,0.06599585,0.06463356,0.14951722
ABCG1,-1.25667003,0.359118244,1.648456094,1.7566888999999999,-1.19326858,-3.4276675600000006,-2.3029762099999997,1.4040407449999999,-3.6001759499999997,-3.9251549999999997,1.48934691,2.2284512199999997
ABCG2,-0.3405203,0.4201724,-1.0717828,0.5112905,-0.028230239,0.5904405,-0.12303434,0.3546945,0.5274351,0.9891559,0.36477742,1.2609279
ABCG4,-0.12602824,-0.68675953,-1.7134175,-1.6660221,-0.2335257,0.0940307,0.12727952,0.44229814,-0.050371617,-0.06788445,0.6014337,-0.15353398
ABCG5,0.51137197,-1.7485265,0.61622334,0.19649206,-1.6903378,-1.1981088,0.7139495,-0.8303421,0.2603752,2.1645143,0.5339525,0.7823863
ABCG8,1.5137689,0.2441213,-0.6616562,-0.19744202,0.49979982,-0.7952492,-0.50004727,1.3690766,-0.28593805,-0.57267153,1.6591667,1.6273943
ABHD1,-0.0048941999999999874,-2.34412622,0.025261709999999993,-2.18049479,-0.268910082,-0.93471613,-0.75024797,0.32231042,-1.136088058,-2.4947407299999997,-1.29233118,0.52923845
ABHD10,-0.0384877,0.26994101200000004,0.74120126,-0.13230601999999997,-0.21191491999999998,0.09782085599999998,0.8163905100000001,-0.72013495,0.646699395,1.17709473,-0.034751649999999995,0.05938024
ABHD11,-3.1686757400000003,1.05367923,2.1400287,-1.18874954,0.05351099300000001,1.3134597600000002,0.87006876,-0.6490564,0.6736152449999999,1.2684080800000002,1.1381436999999999,-1.739956079
ABHD12,-2.23408634,0.29542743,0.41112342,0.310546963,-0.5688654639999999,1.93066134,-1.75827322,0.90068996,-0.5728631550000001,-0.45937905,-0.7860195889999999,0.373551014
ABHD12B /// MIR4454,-1.6531308,-0.37956509,-3.1115341,-5.530776400000001,0.86898753,2.6647577,-1.4608243,0.81166791,0.7136545999999999,-1.8737505600000002,2.9308605,2.6643653
ABHD13,-0.30910170000000003,0.20267991999999999,-1.1351333000000001,-0.12258025999999997,-0.74259743,0.4507347,-1.6987130400000001,-1.2640113,1.37533045,-0.140472785,0.39057189000000003,-0.47572729
ABHD14A /// ACY1,-0.50346345,0.27663624,0.085682176,0.002585404,-0.18481119,0.27461123,-0.002592046,0.2779357,0.08460238,0.04358246,-0.16637383,0.30649444
ABHD14A-ACY1 /// ACY1,-0.25895426,-0.002358115,1.2273934,0.25307313,0.001419252,0.53821015,-0.6251224,-0.75042593,0.7758436,-0.043422047,0.6754596,0.4018991
ABHD14B,-0.26678053,0.14418082,0.5844398,-0.25122052,-0.055829644,-0.08684134,-0.70102984,-0.18160644,-0.26415655,-0.08897197,0.19028448,0.52192724
ABHD15,-0.026266282,-0.028001634,-0.12139854,0.15362306,-1.0641844,-0.22216456,-0.017112162,0.074630365,-0.64451873,-0.3034523,-1.0702399,0.17201738
ABHD16A,0.7440785,1.312288095,-0.678717045,-0.46458130999999997,-0.139487732,0.04745731000000003,-0.07818762900000001,0.6394120999999999,-0.115379684,0.028836179,0.17655375,-0.5959281319999999
ABHD16B,-0.6607789,-0.82051927,-1.0129515,-1.0170225,-1.1800658,-1.6020201,-0.51826704,-0.29182705,-1.0240492,-1.3834993,-0.84851086,-0.7360268
ABHD17A,-0.0930895,0.1066263,-0.049190532,-0.30708218,0.17474294,0.0362975,0.11079324,0.33881408,0.078822434,0.11552898,0.031627633,0.14652893
ABHD17B,-0.18848446000000008,-1.0088528300000001,-0.5802304300000001,0.97055881,-0.371076643,1.02710896,-0.6498479070000001,-0.4336022699999999,0.35456947,-0.06698269999999995,-1.166485744,-1.760501406
ABHD17C,-0.24408142,0.3671113,0.2146175,0.04854974,0.10787514,0.11466252,0.037063643,-0.59170324,0.7871054,0.21367802,-0.37468842,0.33122912
ABHD2,-0.6876435409999999,-1.035908182,-1.7394506799999998,-2.58908053,1.91803289,-1.5229331700000002,9.8147039,-4.76717483,6.35364999,1.15360005,-1.436873879,-2.069693065
ABHD3,-0.38504577,-0.30486596,0.18860738,0.44599065,-0.20119967,-0.11489163,0.46175817,-0.7232316,0.8584622,0.25349656,-1.0458508,1.1261454
ABHD4,0.41305998,0.43439352,-0.014598375000000002,-0.20211505,0.9972068999999999,0.591692784,0.18277729499999998,0.76190463,-0.11779234,-2.1905633,-0.338018513,-0.47446464
ABHD5,-0.4145511999999999,-1.37236814,-3.4582210620000002,0.72453639,1.232842655,-0.18763900199999997,-0.6655593040000001,0.26912093,-1.87143977,1.14889334,-0.6037627400000001,0.4688160699999999
ABHD6,-0.49523189400000006,1.274832244,3.0082066,1.4527648100000001,-0.353302782,-0.712014598,0.5369149400000001,-2.1720682,1.67928073,-1.1211131450000003,-0.29214830999999997,2.5315709999999996
ABHD8,0.12396731,-0.093499765,1.483906,0.30626225,1.1815257,-0.44101617,-0.07986392,1.1869059,-0.15036416,0.639411,0.27385095,0.51413566
ABI1,0.35440868999999997,-2.58364891,-0.9464184970000001,-2.3414328600000003,-0.26399212000000005,0.817295472,-1.654125615,0.32544508,-0.487262336,-0.819118352,0.266147375,-2.03610591
ABI2,1.4443244549999998,-0.03014405900000003,-2.501629933,-1.6780933600000003,2.835023532,-1.7017672389999998,0.5338817410000001,1.3166490649999998,0.5289508669999999,-1.219909635,-1.547609565,-4.04109987
ABI2 /// RP11-363J17.1,-0.14809532,0.19558528,0.060411762,-1.169565,-0.58834255,-0.06386533,-0.22140719,0.34676406,0.6499661,-0.49397087,0.6359726,-0.52492565
ABI3,0.27606657,0.18249711,-0.1653668,0.05982501,-0.23984972,0.32318652,-0.19312118,0.74448,-0.015671885,0.008556018,-0.2562893,0.23164612
ABI3BP,0.528221932,-0.3012255799999999,-1.1460425,-0.4513420899999999,2.9513641500000003,-1.86087288,-2.277781145,0.94593678,-5.5605076,-3.9392101999999998,0.88874654,-4.277006650000001
ABL1,-0.4837962,0.041067287,0.023450414,0.08891819,0.5533314,-0.2945607,-0.17002012,-0.26625633,-0.25841668,-0.13819125,-0.29700217,0.21124674
ABL2,0.178337541,-0.45031405,-1.75940579,0.11448301999999998,1.13811781,-0.380597968,0.3091393,1.12061148,-1.176688686,-0.303479105,-0.39463541999999996,-1.2255130600000002
ABLIM1,-0.87073544,1.18244956,1.2075578999999999,-0.620384418,-0.62223417,-0.32678965,1.0241319,-1.0897358,1.5127660299999999,1.06401417,0.21929814999999997,-0.236319942
ABLIM2,-2.88781785,-2.3255079899999997,-1.31545632,-2.7562165899999997,3.4236049700000004,-0.3912393399999999,-2.72531442,1.90786224,1.42161501,-2.01806063,-0.69382602,-0.56231447
ABLIM3,-0.018119609,0.3023673,-0.59825635,-0.84747535,1.2672421,-0.4742435,0.2334166,-0.7894377,0.614259,0.017797181,-0.46627182,0.63669467
ABO,-0.352145041,0.63363944,1.31945713,0.74523936,0.9899307,-0.643219835,-0.101999858,0.36371665999999997,2.0720631,-0.94007494,0.82006612,0.19589799
ABR,0.05873644,0.089495942,-0.07718080199999999,0.161959752,0.79773152,0.19957671,-0.13106797,0.52067144,-0.27948722000000004,0.060990187,-1.1540754,-0.175445925
ABRA,-2.6253386,-0.10943662299999998,0.28123689999999996,0.202690105,0.195682781,1.2682728600000002,-0.30656530000000004,-0.21588373999999996,0.409595766,-2.9551853500000003,-1.79379332,0.809328274
ABRACL,0.22753653,0.093686774,0.000121,0.09184062,0.13381386,0.43698487,-0.22987112,-0.25229037,-0.032226942,-0.003854661,-0.13322361,0.33655864
ABT1,-0.53744644,0.049285114,-0.5900493,0.003389568,-0.087187,0.6039127,0.3643681,-0.16520351,0.38459885,0.44091818,-0.45672303,-0.18661
ABTB1,1.6035092759999998,-1.3205585499999999,0.009631579999999973,0.8014949499999999,4.922750397,-0.7141028599999998,1.43762738,3.58922244,1.49058632,0.22564904699999994,0.9946847499999998,-0.47806626799999996
ABTB2,-0.09284726999999998,-0.004154867,1.5257707,-0.62759036,1.43362498,-1.047295609,-0.45248204999999997,-0.20160859999999997,-0.09503264,0.08797219199999999,-0.49061164,-0.25006003
AC000111.3,-1.2203946,-2.7423317,-2.0114803,-1.481328,0.96000046,1.0180614,-1.9045614,0.7414025,-2.1525145,0.23423749,-1.1933514,-0.7992057
AC002059.10,-0.4965417,-0.23523894,0.056558315,-0.689894,-0.8226004,-0.2902389,-0.5819836,0.5953978,-0.3571032,-0.22021067,0.292123,-0.002830633
AC002064.5,0.117000714,0.64147437,-1.4283727,-0.12025734,0.97287536,-0.44009173,0.57889986,0.54370475,-0.098296374,0.6482459,1.1339631,-0.56593156
AC002310.12 /// AK056973,0.46180826,-0.002259959,0.43300438,-0.422657,-0.076029114,-0.025181893,-0.7329842,0.48737234,0.6234138,0.24408506,-1.3727885,0.24811366
AC002310.7 /// ZNF785,-1.5181301,0.37209603,0.2596686,-0.6737653,0.5701051,0.56854147,0.8611984,0.63003796,-0.68545246,-0.41654736,0.22466312,-0.86698383
AC003973.4,0.8275313,-0.47241905,0.48051736,1.6080828,-0.81969535,-0.03504887,-0.58277977,-0.15776975,-0.37232688,-0.1581314,1.4198575,-0.61681855
AC003986.5 /// BC043576,0.603296,-0.4913733,-1.9663343,-0.19217476,-0.14726457,0.04169007,0.5131595,-0.47147328,0.5623474,0.55842423,0.9965423,-1.1971508
AC003989.4,-0.42560902,-0.78903586,-0.48006228,0.10832216,0.5265563,-0.57733023,-1.3588948,-1.3742025,0.5715943,0.2852108,-0.60872203,-0.94022363
AC004158.3 /// AK055364,-1.9135418,1.1426625,-1.4316618,-2.492929,0.68142706,-1.6560874,0.5674419,-0.4127797,-1.4149154,-2.1636577,1.690463,-1.0169291
AC004490.1 /// AX746733,1.1486803,-1.8950341,-1.877949,-0.9088089,-0.37657055,1.5934254,-0.32637593,0.1829122,-1.5058873,1.1048737,-0.42925248,0.57615966
AC004538.3 /// BC040327,0.25180727,-0.69879,-0.09034042,-0.18671273,0.93504626,0.4895841,-0.11215666,1.178662,0.124092415,0.17377853,0.39338222,0.074147984
AC004692.5,-1.1896216,-0.2697273,-0.97949445,-0.07995599,-0.22963779,-0.15047757,0.58728385,0.098560624,0.33368558,0.51367456,-0.9952875,-0.5870766
AC004941.5,-0.40733874,0.07236861,-0.5929332,0.01860489,0.009075108,-0.003096183,0.6552726,-0.3738175,-0.58070517,0.18620831,-0.35987368,-0.47158197
AC004951.6 /// AX747182,0.22468893,-0.48056585,-0.029325059,-0.2600575,1.3763202,0.69287235,-0.02167753,1.0715749,0.073986806,-0.7461681,-0.2392317,-1.1799887
AC005162.4,0.121533684,-0.5981009,0.78548175,0.8158723,0.36135736,-0.07984029,0.8527742,0.029556343,-0.2779469,-0.4897609,0.5343915,0.005825802
AC005224.2,0.17207319,0.35836226,-0.5817208,0.33677796,-0.2705538,-0.008598232,-0.8439485,-0.023025908,0.5251136,0.65980864,-0.006218476,0.28460723
AC005256.1,-0.3421692,-0.787967,-0.5050273,-0.037788834,-0.115084015,-0.6029753,-0.72338635,0.101396784,-0.024126707,-0.6483745,-0.3269603,0.29272765
AC005306.3,-1.0178767,0.55065656,-0.14992186,-0.6847541,0.69454,-0.23172788,-0.8528813,-0.9261269,0.15261647,-1.0794016,0.4271402,0.5458807
AC005498.3,-0.09710483,-0.78077596,0.9595797,1.4819157,-0.20149185,0.37803924,0.58601594,0.3942517,-0.46988127,-0.5286527,0.70556176,-0.31953487
AC005523.2,0.5333591,-0.30476788,-0.53911024,-0.02772173,-0.22555402,-0.30366436,0.27748653,-0.20989338,0.043155085,0.026973803,0.19093512,-0.1422987
AC005523.3,0.29390517,0.36769223,-0.05206156,0.1306784,-0.26262587,-0.44836473,-0.7449297,0.020267768,0.10171912,-0.3413559,-0.32103202,-0.086066365
AC005537.2,0.31108177,0.35625783,-0.3878578,-0.6603476,0.6172339,-0.057822715,-0.34237635,-0.0865639,-1.0539021,1.1422294,0.5634919,-0.58479595
AC005592.3,-0.44720957,-0.37260208,-0.32166845,0.2969875,0.37597576,0.21730646,-1.4024053,1.0042918,-0.1556587,-3.5613105,0.055587776,-0.04965665
AC005606.14,-0.24773143,-0.27644017,-0.54546607,0.4379419,1.2073543,0.1536984,1.3413074,-0.87740815,1.3519008,-0.7929537,1.3936476,0.6465375
AC005754.7 /// BC016751,1.719098,1.1253909,-0.36007822,1.1213616,-0.34715658,0.40230083,-1.8304534,0.5427318,-0.6792086,0.55644083,0.28423434,1.5312483
AC005785.2,0.36958465,0.32772473,0.53435296,0.13298742,0.019207086,-0.23682651,-0.07160331,0.21283796,-0.049227163,-0.16248895,0.47826454,0.23687597
