,002-064,002-066,001-047,501-053,002-069,002-075,001-043,001-076,001-038,002-070,001-064,502-052,002-074,001-071,502-062,001-078,501-056,002-067,501-059,002-042,301-028,001-046,001-055,301-033
PYGL,83.34909493979777,89.25797201511426,193.7795150350273,159.38982416022245,237.1294414989718,313.4073919123843,174.6706330813665,131.42023227355182,140.52520008479684,125.37715473326442,396.09963793324243,346.5993223874663,121.31559672763963,139.91829730601134,211.25850425510254,250.45873936122973,252.44942930587382,126.54294414147377,263.29255910678427,128.37700886746313,300.7981116615905,251.1246522586893,87.89047171683127,193.96247203706713
ABHD12B,50.91022908396079,25.88513454700764,54.18502139311907,64.13997189425602,136.722132211997,64.03042942382817,57.34371069980625,69.21074937997564,109.90272777281103,75.75456868955105,77.84878812819974,81.88790202522661,36.55150947376012,49.98457967996911,45.46100310595242,119.08300951740574,87.25677277091862,35.9514921408845,155.26700264809435,80.02695636892736,0.0,148.27867176458338,62.861500515910286,55.35696379951076
TRIM9,458.0053526643144,154.13463409810754,522.2321239641103,798.2057484221257,1245.155225359909,581.152842417021,360.2412680980701,707.2674610974259,661.0250463816958,642.4718621264406,943.0279813114898,961.5545921846325,403.40155077140827,1165.5198694690182,535.7146683966525,1269.2209303832722,100.9966661043069,475.08605812116974,1331.6485702798743,95.16701073681568,254.78446350169375,933.9379784825909,1046.6480978244322,859.010736576075
TMX1,109.27382330038604,68.1731755343934,139.00375797726002,144.91229494196557,119.26296750498905,118.12027164946163,115.34075143688243,180.46428027138955,108.54325392666298,133.64577702612482,209.916769376064,250.45150679892896,111.63037474169184,194.23732808525375,146.6558849628534,203.00437793670156,119.78662029162899,156.94752078861507,281.65662031707484,101.89112332806161,0.0,190.5042450530073,124.6917486114811,191.35273391504063
LINC00640,2.988453204096448,20.784834779838874,2.462752588354517,3.5891948354195096,13.635464327684339,7.849837239620312,4.42199912800213,1.8442616084030932,1.9659196604579965,9.3817690644721,4.83323081039682,7.9539978340271205,6.09567604782419,3.4732925477683363,6.097209552030284,2.819706671309651,31.528826747157655,4.491393345744996,11.44963791999542,43.54886936810223,0.0,6.60642481090072,4.312782682216286,50.00586388479029
FRMD6-AS2,6.38499883046561,19.03198793544679,6.765184045872441,2.817006321988392,30.25343626667955,3.404764966986782,10.411916937314876,2.026475459789484,5.40038345113816,18.19180930661766,2.655378061371775,6.991885031682203,11.163219167189483,6.678796891472091,6.896664059974983,17.815195792330126,28.148159473532488,8.541597059087728,0.0,86.1327299842308,0.0,1.8147856159933384,22.378079825584393,0.0
FRMD6,39.52989664634587,36.60615712636927,58.14297049790132,68.72241893739067,87.12642642773464,47.19507100355343,52.220474014779484,73.2180476580927,56.27445028061015,95.52164993811022,128.26581503927858,107.58562603019413,50.82459801323507,101.37429168713706,59.488854603989815,62.0065355600451,67.05584758707695,49.44851327767328,108.73812087687239,62.445822683625465,96.81593143681607,89.78254802589983,71.91833831797041,13.37773695048712
FRMD6-AS1,33.77260485024205,33.27609465294751,64.01278452736459,32.44928412892506,59.26723719059401,100.85069635726123,27.84218524220068,28.76204167053836,39.99045726535957,62.99053396706324,40.14606407524158,34.51713902585508,12.055300106694029,53.77495191173154,37.289634477711296,47.79839236224098,72.1524257588975,52.31914477975085,19.408908425618076,66.93201374428862,0.0,41.435976557899046,53.07124064090907,113.02357211824742
GNG2,122.46906206345652,107.38424012691405,50.08452722344395,155.09697559991616,68.341748957964,64.76988459353979,181.35544059971252,137.49917140741863,128.09296411262883,124.87226934575024,88.74952831629031,115.71260085245389,142.62176232870297,191.88218020115983,84.5535987048853,198.75484202032894,89.95415469701382,59.34751805202486,361.7073261698506,93.55162792664639,0.0,102.78702202338316,151.5734538812904,138.22752749341703
LOC102723604,67.98997809454211,123.71691590362505,52.77227214611083,65.92274057288337,77.41600798927894,60.98755747733664,84.22696259687989,72.01266338535466,93.61345226264069,89.34849252705189,77.10008162222141,63.63077979919858,108.84930031523488,74.42629050137613,66.60691244312322,147.69612883803234,138.87434968408954,26.32268684119621,272.6052733503635,165.89731862117128,0.0,62.91714214993918,102.68336083651062,0.0
RTRAF,57.73388830269688,34.748822668912474,71.30444389992687,86.65719242659742,57.86740898553609,46.2152916897748,57.03059341862293,75.12044513937859,56.1725899265364,89.74710074795955,80.73020601011922,107.92957898881804,62.535479522243676,82.98407152495659,63.55966263454438,88.28196377675734,88.17114204175566,63.64161496492725,83.52833475217125,46.59618665652689,55.00294499873659,73.29767341632079,65.83916721745273,0.0
NID2,38.340959028435776,67.57591367113838,49.74003140110024,110.32731221102878,50.84205450198244,46.56552303774966,52.52843586906141,99.28065329288262,20.143295094185863,112.00423581686381,79.52165616012444,181.80459817694467,86.48001982492003,59.67868636628911,97.24382640760719,98.8975059993088,122.69766996853724,22.465344580469832,60.91397245405573,48.05364290161118,142.618712517062,44.25953217728434,29.45988621079197,19.706628774372142
PTGDR,7.958205563300147,12.883119786027098,19.84442889046392,19.916364086512093,13.436046006013305,1.3657784228901482,5.742837169001266,1.8290137762076346,6.49888664657965,165.10399897662288,3.7946728972506922,5.7847067187154195,4.198110226506216,2.296384233025837,6.22464659743805,0.6990985339595482,76.86754855625522,1.7131768379666332,0.0,56.145465558946604,299.08753622344494,3.821886111896732,2.7722111780227388,0.0
PTGER2,5.089867221851896,30.090229201387427,23.279506033712583,9.955517474240112,12.86231286307512,5.066400770347877,7.746635157418046,3.3923939086496167,4.01797292064397,21.43041876600402,19.75644366959771,12.029800569976953,4.152808103980834,1.7746904518921782,17.22627205568599,1.4407385608578116,66.85550212794604,3.17754340899937,0.0,51.62334208858801,0.0,2.700459894305706,3.4278700489303477,0.0
TXNDC16,98.78873428188592,39.63925186364897,59.310424275394574,77.22840984846077,57.49836122914391,45.29663439634742,47.06957871725064,72.04606219755895,110.90810737746281,95.75138843825086,62.507981068406295,107.18668332387713,73.53620266102551,81.15168612543175,60.12906030738805,104.44913182125906,58.73101648348097,72.63174821601196,82.26539444883251,59.33466743332321,0.0,80.51812293667633,124.45906973104627,79.84244947757452
GPR137C,94.50877976808319,26.829105206463808,44.822854295627415,67.90565877510127,51.38045801622139,27.0380036499535,61.15634019675725,87.70043735041901,86.78636206227226,65.607737178961,18.62265006815164,33.26519629120286,71.99504118621194,59.314492731319625,24.86085711642634,134.95944051984407,44.563730699881475,40.13653345213142,75.37399610268469,50.591668841621605,140.14124679616606,94.52829092166746,112.26679039686069,77.45719976989191
ERO1A,82.43575652569879,69.93417291539839,138.8820859903285,97.35314873776987,111.12430325622549,177.84247902140123,114.03984538462265,77.41799310361344,197.4563040181218,105.51863904577306,290.8656420710177,189.71809464551535,84.41287992124376,118.44889196238792,183.4691702896219,127.96216588739506,152.81384146479127,93.612212604833,187.20893603165382,73.82090049626541,0.0,88.61990737396852,159.26235966790028,33.3725714997448
PSMC6,84.10201962653136,70.00534671802932,97.256417908828,107.24454934486855,104.03908227038943,79.87365862161734,67.87282565080356,93.05055618890162,138.3874434497903,111.15311430040444,156.92755326353208,124.41201204163401,87.94038968820625,118.7386319928582,101.7135765668352,126.40568940758942,125.83770660872685,87.73920986763409,171.6075528093123,76.27195214318725,60.94523401584839,135.06406669188343,130.732846889324,50.527385128674986
STYX,92.65744238985133,63.9183375670652,106.1334916512229,118.71394914174361,81.65533791477601,72.26373926386381,63.86867236281853,82.04317865902678,96.39949981844035,116.05568733383589,113.6129321953875,147.00392676811308,71.90116780472536,115.70817917798395,109.14804758132591,96.64311196487395,104.39660856379497,89.42212379044138,170.74620081352995,61.64135770160519,91.47288886304035,108.03837960899375,79.69815061585902,0.0
GNPNAT1,38.380052820334924,39.16982454644448,43.31742283337177,55.72228178635418,48.42813152015363,37.63213415090585,24.603454927435575,33.82900093610171,45.69316960440564,48.18750186303838,65.73236087446,74.34849718041023,30.6334323480681,63.273689253622116,53.62199303289276,48.0017441262559,75.26190408706796,36.02712628230679,133.05992556824603,30.639290316917574,0.0,57.47779046544288,43.648252662591005,62.82532225725024
